,close,date,high,low,open,quoteVolume,volume,weightedAverage
96,6472.22763654,1510648500,6486.84097761,6458.5636784,6462.3416999,14.13634493,91505.4899356,6473.06573153
97,6430.00000001,1510648800,6485,6430.00000001,6484.99999993,21.35717716,137972.07030762,6460.22034063
98,6440,1510649100,6450,6425,6433,15.80967102,101797.85575548,6438.96104015
99,6447.76219993,1510649400,6455.123,6440,6445.0716999,25.42890759,163908.14818846,6445.74084074
100,6450,1510649700,6455.12299999,6430,6450.62599984,24.89094012,160311.60344501,6440.5604076
101,6468.56700001,1510650000,6480,6450,6450,9.7438618,62936.94689621,6459.13788475
102,6480,1510650300,6481.95291618,6460.57824576,6468.56700001,17.12450507,110928.27598119,6477.75077456
103,6499.868102,1510650600,6505.62096475,6461.68430516,6480.63911872,22.63399048,146640.98815204,6478.79516789
104,6504.14381673,1510650900,6506.11,6488.35200934,6499.86810201,20.56644885,133607.45939094,6496.37963099
105,6491.954,1510651200,6504.14381674,6480,6504.14381673,17.45443838,113360.07133789,6494.62726155
106,6503.48999998,1510651500,6510,6487.74799769,6491.954,23.93229592,155608.39462417,6502.02534451
107,6500.85992195,1510651800,6510,6494.73000749,6503.48999999,41.97568574,272928.2399376,6502.05553824
108,6507.98999994,1510652100,6520,6500.85992192,6500.85992195,23.40006839,152210.19552403,6504.69019949
109,6511.34429764,1510652400,6517.52139624,6497.2221589,6507.98999994,18.65536213,121381.55361419,6506.52358117
110,6503.03901469,1510652700,6515,6488.22292063,6505.16856119,15.88248226,103246.97362084,6500.68244564
111,6522.56290923,1510653000,6523.1148576,6503.03901469,6503.03901469,7.60102162,49514.46089882,6514.18498383
112,6540,1510653300,6540.1998444,6517.31362318,6519.99999994,5.0302686,32829.2027731,6526.33196825
113,6568.1912201,1510653600,6569.38480811,6532.1341886,6540,22.24143828,145810.13233094,6555.78701769
114,6572.38480811,1510653900,6578,6568.1912201,6569.38480811,11.37612539,74787.4078672,6574.06676731
115,6550.04048786,1510654200,6574.4568,6537.48960276,6574.4568,17.99292536,117989.54712036,6557.55219118
116,6560,1510654500,6560,6550.04048786,6554.99999993,7.7794032,51007.42587342,6556.72736867
117,6527.1486,1510654800,6562,6518.68940161,6560,19.08805315,124896.07605908,6543.15424824
118,6498.90422566,1510655100,6532.99999992,6498.00000001,6518.68940168,78.7232992,512648.59203036,6512.03134573
119,6503.43730002,1510655400,6516.87604971,6481.1293903,6503.0935,23.75010418,154488.31258085,6504.74252281
120,6525.2476,1510655700,6543.46489879,6503.43730003,6505.48860965,18.9981872,123957.25771563,6524.68871954
121,6540.8415248,1510656000,6547,6518,6524.99499998,8.71130001,56883.36009355,6529.83596343
122,6533.25944338,1510656300,6547,6523,6547,24.0756454,157230.03955686,6530.66769112
123,6543.00000012,1510656600,6556.32519116,6530,6530.00000012,11.38514706,74469.04476429,6540.89441022
124,6545.76886579,1510656900,6562.006172,6543.00000001,6543.00000001,18.9738154,124353.15073158,6553.93488921
125,6504.34959999,1510657200,6545.76886575,6492.00000001,6545,23.03395851,150104.7782796,6516.67312044
126,6524.9794297,1510657500,6524.9794297,6500.00000004,6504.34959999,8.05521279,52459.8519736,6512.53459607
127,6524.11319986,1510657800,6534.95532183,6510.00000004,6524.9794297,10.99755823,71782.20592664,6527.10396484
128,6479.21999993,1510658100,6518.09689997,6450.12,6518.09689997,30.59821064,198040.26701672,6472.28262288
129,6456.04897082,1510658400,6480.3059827,6456.04897061,6479.21999989,9.03951703,58480.07473662,6469.38044837
130,6444.2586,1510658700,6467.0398,6421.18421104,6467.0398,69.55814464,447907.63404329,6439.32693089
131,6444.04019996,1510659000,6456.58013005,6422.8167,6444.00000032,20.08370374,129383.93551307,6442.23481824
132,6440.73010219,1510659300,6449.99999999,6405.123,6445.97369999,48.54709293,312192.43196221,6430.71321309
133,6472.7378,1510659600,6489.78363567,6436.141,6440.73010219,22.86189238,147852.61292837,6467.20798396
134,6425.32756891,1510659900,6472.7378,6425.32756891,6472.7378,26.42324485,170122.82345475,6438.377437
135,6418.03462862,1510660200,6444.3555,6406,6426.60230052,26.02199235,167139.07779659,6422.99311861
136,6423,1510660500,6424.99999991,6405.15146731,6412.017,16.474928,105686.81267508,6415.00907773
137,6386.4629336,1510660800,6422.73558245,6386.4629336,6416.36860001,54.96570798,351935.80808182,6402.82497971
138,6347.99999999,1510661100,6389.9722,6299.35892763,6389.9722,145.42006517,920723.09930696,6331.4721956
139,6330,1510661400,6349,6317.94292293,6347.99999999,46.24867798,292984.08231242,6334.97204912
140,6365.330402,1510661700,6365.56962612,6317.94292293,6323.8,48.96171932,310384.17125284,6339.32336453
141,6391.08270007,1510662000,6395,6341.58796601,6365.56962612,23.9222495,152431.43933447,6371.95257638
142,6388.61768797,1510662300,6399.99999999,6361.44420003,6394,15.46646767,98809.14542005,6388.60453002
143,6372.1937,1510662600,6386,6353.83477165,6371.85298654,11.79588429,75126.68961758,6368.89001032
144,6390.08570001,1510662900,6394.76080546,6360,6362.00000004,24.87246498,158662.73546832,6379.05151724
145,6395.93075646,1510663200,6417.82799999,6368.14328364,6394.7544107,44.70988402,285730.08702957,6390.75885103
146,6421.4337,1510663500,6422.43871999,6390,6399.492,26.15154835,167435.18287937,6402.49596844
147,6431.00000011,1510663800,6448.87681697,6410,6416.01939179,16.06616213,103318.23728238,6430.79762586
148,6434.71709997,1510664100,6448.94598489,6430,6431.368543,25.9246993,166837.69346017,6435.472656
149,6398.99999993,1510664400,6432.00000001,6398.99999993,6432,28.28635321,181479.55373469,6415.79889734
150,6403.99,1510664700,6403.99,6394.98712341,6397.33591403,8.29536396,53080.14098502,6398.77180084
151,6403.9159,1510665000,6403.99,6400,6403.4028,14.00170213,89632.89221138,6401.57113607
152,6403.99,1510665300,6403.99,6400.00000001,6403.9159,20.13663295,128944.68913895,6403.48808359
153,6375.66011036,1510665600,6403.99,6370.00000001,6403.98999999,18.93727389,121133.48141071,6396.56384093
154,6370.00000001,1510665900,6386.45698746,6370.00000001,6375.66589998,16.03069779,102163.89501291,6373.01609394
155,6370.00000002,1510666200,6391.62636231,6370.00000001,6373.3135,14.30403111,91245.14540735,6378.98119108
156,6384.39820534,1510666500,6390,6370.00000001,6389.99999984,5.7739872,36831.82686488,6378.92423192
