,close,date,high,low,open,quoteVolume,volume,weightedAverage
0,7273.00000049,1510290000,7275,7255,7260,35.10563681,254996.92005779,7263.70301834
1,7250,1510290300,7277.39199995,7250,7275,25.61521903,186061.85002514,7263.72278164
2,7260.00000003,1510290600,7262.22894599,7233.23500001,7250,18.41104786,133404.54871129,7245.89657936
3,7275.52913984,1510290900,7277.00000045,7250.00000071,7260.00000003,19.77656332,143656.16986904,7263.96025156
4,7275.52913984,1510291200,7275.52913984,7265.00000006,7275.52913984,7.82952054,56936.76635454,7272.06296524
5,7251.59209217,1510291500,7275.52913984,7247.00000403,7275.52913983,28.0023297,203326.55710851,7261.05860786
6,7240.00100003,1510291800,7257.76720223,7240.001,7251.59209217,30.81962279,223358.22787154,7247.27325163
7,7229.8813869,1510292100,7249.999999,7229.8813869,7241,9.37728358,67890.10763193,7239.84798505
8,7183.79607708,1510292400,7230,7182.4499999,7229.99999999,75.09930994,541190.54982979,7206.33185926
9,7198.73365918,1510292700,7218.99999952,7183.79607708,7183.79607708,28.22343021,203122.42015409,7196.9430591
10,7190,1510293000,7218.99999855,7190,7198.73365924,12.20193873,87827.17784747,7197.80518414
11,7190.00999999,1510293300,7196.9772682,7190,7190,36.66859385,263652.2362352,7190.13762332
12,7160.00000007,1510293600,7194.69999993,7160,7194.69999993,23.44277655,168196.40225334,7174.76455464
13,7161.00000012,1510293900,7175.99999,7158,7160.00000007,15.33163106,109818.61423166,7162.87874407
14,7160.99941026,1510294200,7173.10225975,7160.99941,7173.10225975,29.51513925,211415.52425435,7162.9519503
15,7160.99941002,1510294500,7173.00000003,7160.99941,7160.99941026,17.89552987,128193.08206654,7163.41360092
16,7180,1510294800,7187.75754811,7160.99941,7160.99941002,9.95214481,71414.27785257,7175.76755724
17,7170,1510295100,7187.75036014,7170,7183.99281581,9.57496931,68770.76995037,7182.3488644
18,7165.0000002,1510295400,7179.99999959,7160.6833016,7170,3.70198842,26536.27117892,7168.11296209
19,7167.00001006,1510295700,7187.75754617,7165.00000116,7179.99999977,6.37927746,45786.0896999,7177.31592441
20,7181.00000115,1510296000,7200,7170,7180,10.19739691,73293.63834093,7187.48509916
21,7181.00000151,1510296300,7200,7181.00000096,7181.00000163,8.31015506,59734.47005384,7188.12941786
22,7192.00000061,1510296600,7200.40206294,7181.00000188,7200,5.73298626,41248.48907732,7194.93946202
23,7200.00000001,1510296900,7209.99999988,7187.00000096,7200.40206294,7.00520641,50439.5797346,7200.29886094
24,7172.63734463,1510297200,7204.99999986,7166.28779485,7204.99999986,7.80111174,56058.15755699,7185.91906196
25,7171.00000061,1510297500,7198.99999999,7170,7172.63734463,9.41570025,67676.32290044,7187.60380041
26,7200.04681479,1510297800,7212.00000022,7184.34000041,7199,5.56278213,40044.54827981,7198.6547997
27,7174.32333852,1510298100,7193.90841053,7170,7193.90841053,9.25734741,66446.49731049,7177.70375979
28,7150,1510298400,7174.32333852,7150,7170,14.7918922,105845.84975974,7155.66665363
29,7145.99999912,1510298700,7159.99999952,7132.2226164,7150.00000018,18.91807418,135139.8569087,7143.42567974
30,7163.5,1510299000,7174.32333833,7145.99999921,7150.00000009,6.0217299,43106.22430527,7158.445334
31,7173.99999998,1510299300,7176.31737897,7162,7162,8.48006288,60802.58730381,7170.06326064
32,7164.80000008,1510299600,7181.40575451,7164.8,7173.99999998,3.56031109,25542.4313974,7174.21336274
33,7150.25993465,1510299900,7174.8160096,7150,7168.56383741,5.87719873,42069.6300875,7158.10916393
34,7148,1510300200,7160,7148,7156.99999964,9.58462006,68574.52159588,7154.64162028
35,7141,1510300500,7156.99999997,7140,7156.99999997,9.62355062,68780.00002017,7147.05026617
36,7155,1510300800,7155.999,7132.22261642,7143.43319803,5.76113628,41149.93951718,7142.67767975
37,7142,1510301100,7164.70118092,7140,7155.999,10.63568954,76057.40915153,7151.14980232
38,7147.836,1510301400,7153.22261701,7132.34188072,7142,7.76339393,55456.45820447,7143.32657913
39,7164.70118114,1510301700,7165,7143.00000007,7147.00000001,5.8277929,41694.86219137,7154.48591033
40,7165.39999992,1510302000,7171.99999997,7155.00000017,7164.70118115,5.42925335,38904.05086698,7165.63555962
41,7170.00000004,1510302300,7175.31524,7165.39999992,7167,5.63097795,40366.91977153,7168.7227565
42,7160.17756209,1510302600,7177.31951763,7155,7170.00000005,6.51355542,46677.77049811,7166.25060942
43,7155.00000051,1510302900,7167.10250358,7155,7155,6.41501869,45927.17576314,7159.32064776
44,7155.0000002,1510303200,7166.77009059,7155,7160.15797308,10.44756797,74779.65643732,7157.61377691
45,7170.00000001,1510303500,7174.06418004,7155,7157.49686984,10.36182872,74209.95429364,7161.8588088
46,7150.00000015,1510303800,7174.06418004,7150,7170.00000001,12.9873299,92977.37127392,7159.08289
47,7162.99999996,1510304100,7163.99999997,7150.74973466,7155,0.66496958,4760.53776833,7159.03089631
48,7189.95645315,1510304400,7189.95645315,7157.49242809,7162.99999979,11.77270791,84521.75618563,7179.46600151
49,7198,1510304700,7198,7173.82617366,7188.74188084,4.5150166,32466.00696274,7190.67277908
50,7192.50334232,1510305000,7199.22261702,7163.28274241,7193.04260695,13.69765113,98362.11498998,7180.94759871
51,7182.93,1510305300,7193.1075118,7172.50334393,7192.50334232,4.11229269,29544.51574535,7184.43894258
52,7180,1510305600,7193.1075118,7176.01000056,7191.64039958,7.65809146,55049.65588622,7188.43019488
53,7170.53332903,1510305900,7192.36999953,7170.53332903,7187.67776715,9.77558922,70182.50029713,7179.36266732
